id,target
200000,0.85
200001,1.0
200002,0.875
200003,0.971875
200004,0.0953125
200005,0.0625
200006,1.0
200007,0.275
200008,0.125
200009,0.090625
200010,0.921875
200011,1.0
200012,0.29375
200013,1.0
200014,0.996875
200015,0.925
200016,0.15625
200017,0.75625
200018,0.525
200019,0.996875
200020,1.0
200021,0.94375
200022,1.0
200023,0.65
200024,0.859375
200025,0.75
200026,0.96875
200027,0.0908952417834592
200028,0.20625
200029,0.909375
200030,0.265625
200031,1.0
200032,0.821875
200033,0.853125
200034,0.0
200035,0.03125
200036,0.246875
200037,0.0125
200038,0.1875
200039,0.371875
200040,0.03125
200041,0.09375
200042,0.796875
200043,0.0
200044,0.55625
200045,0.753125
200046,0.953125
200047,1.0
200048,0.403125
200049,0.0
200050,0.065625
200051,0.95625
200052,0.896875
200053,1.0
200054,0.05625
200055,0.934375
200056,0.2625
200057,0.9125
200058,0.265625
200059,0.771875
200060,0.715625
200061,0.96875
200062,0.584375
200063,0.790625
200064,0.0
200065,0.1375
200066,0.296875
200067,0.9046875
200068,0.909375
200069,0.940625
200070,0.8625
200071,0.9
200072,0.359375
200073,0.0
200074,0.965625
200075,0.0
200076,0.290625
200077,0.03125
200078,0.084375
200079,0.225
200080,0.165625
200081,0.9161458333333334
200082,0.990625
200083,0.0625
200084,0.0
200085,0.778125
200086,0.64375
200087,0.16875
200088,0.996875
200089,0.0
200090,0.25625
200091,0.278125
200092,1.0
200093,0.88125
200094,0.971875
200095,0.0
200096,0.446875
200097,0.040625
200098,0.009375
200099,0.771875
200100,0.128125
200101,0.459375
200102,1.0
200103,0.996875
200104,0.084375
200105,0.0
200106,0.05625
200107,0.83125
200108,0.690625
200109,0.965625
200110,0.153125
200111,0.96875
200112,0.0
200113,0.9375
200114,0.0
200115,0.99375
200116,0.0908952417834592
200117,0.0
200118,0.190625
200119,0.99375
200120,1.0
200121,0.0
200122,0.0908952417834592
200123,0.009375
200124,0.028125
200125,0.0
200126,0.75625
200127,1.0
200128,0.928125
200129,0.0
200130,0.0
200131,0.99375
200132,0.325
200133,0.153125
200134,0.953125
200135,0.903125
200136,0.9072916666666668
200137,0.0
200138,0.08125
200139,0.0
200140,0.09375
200141,0.14453125
200142,0.13125
200143,0.0
200144,1.0
200145,0.096875
200146,0.19375
200147,0.128125
200148,0.11875
200149,0.49375
200150,0.978125
200151,0.4514066281604469
200152,0.8625
200153,0.04375
200154,0.0908952417834592
200155,0.696875
200156,0.765625
200157,0.0
200158,0.94375
200159,0.896875
200160,0.590625
200161,1.0
200162,0.0
200163,0.765625
200164,0.396875
200165,0.64375
200166,0.159375
200167,0.640625
200168,0.0
200169,0.834375
200170,0.08125
200171,0.09375
200172,0.015625
200173,0.921875
200174,0.0
200175,0.93125
200176,0.0
200177,0.990625
200178,0.91875
200179,0.95625
200180,0.8625
200181,0.209375
200182,0.7375
200183,0.915625
200184,0.796875
200185,0.675
200186,1.0
200187,0.11875
200188,0.1375
200189,0.9854166666666666
200190,0.871875
200191,0.8875
200192,1.0
200193,1.0
200194,0.99375
200195,0.0
200196,0.015625
200197,0.11875
200198,0.071875
200199,0.08125
200200,0.975
200201,1.0
200202,0.4575080565407463
200203,0.821875
200204,1.0
200205,0.153125
200206,0.9060582169995314
200207,0.2625
200208,0.275
200209,0.0
200210,0.99375
200211,0.95
200212,0.08125
200213,0.15625
200214,0.0
200215,0.9125
200216,0.740625
200217,0.0
200218,0.0
200219,0.94375
200220,1.0
200221,1.0
200222,0.51875
200223,0.8525
200224,0.784375
200225,0.83125
200226,0.0375
200227,0.0
200228,0.221875
200229,1.0
200230,0.953125
200231,0.215625
200232,0.86875
200233,0.08125
200234,0.903125
200235,0.146875
200236,0.96875
200237,0.996875
200238,0.16875
200239,0.840625
200240,0.003125
200241,0.115625
200242,0.203125
200243,0.0
200244,0.7
200245,0.115625
200246,0.790625
200247,0.85625
200248,0.003125
200249,0.01875
200250,0.996875
200251,0.990625
200252,0.296875
200253,0.103125
200254,0.0
200255,0.996875
200256,0.0908952417834592
200257,0.0
200258,0.059375
200259,1.0
200260,0.878125
200261,0.0
200262,0.228125
200263,0.20625
200264,0.096875
200265,0.175
200266,0.3375
200267,0.246875
200268,0.946875
200269,0.171875
200270,0.965625
200271,0.996875
200272,0.265625
200273,0.953125
200274,0.640625
200275,0.0
200276,0.190625
200277,0.146875
200278,0.665625
200279,0.0
200280,0.85
200281,0.0
200282,0.084375
200283,0.984375
200284,0.996875
200285,0.9875
200286,0.09375
200287,0.0
200288,0.6640625
200289,0.3
200290,0.1375
200291,0.1
200292,0.0
200293,0.0908952417834592
200294,0.30625
200295,0.15625
200296,0.190625
200297,0.796875
200298,0.26875
200299,0.115625
200300,0.153125
200301,0.91875
200302,0.91875
200303,0.065625
200304,1.0
200305,0.134375
200306,0.69375
200307,0.984375
200308,0.859375
200309,0.8457886904761904
200310,0.940625
200311,1.0
200312,0.828125
200313,0.315625
200314,0.671875
200315,0.790625
200316,0.278125
200317,1.0
200318,0.0
200319,0.1125
200320,1.0
200321,0.0375
200322,0.971875
200323,0.634375
200324,0.128125
200325,0.0
200326,0.078125
200327,0.421875
200328,0.8875
200329,0.1171875
200330,0.209375
200331,0.5321899801587301
200332,0.915625
200333,0.209375
200334,0.9375
200335,0.0
200336,0.0
200337,0.596875
200338,0.053125
200339,0.99375
200340,0.0
200341,0.846875
200342,0.0
200343,0.75625
200344,0.8575892857142857
200345,0.04375
200346,1.0
200347,1.0
200348,0.99375
200349,0.053125
200350,0.06875
200351,1.0
200352,0.875
200353,0.10625
200354,0.978125
200355,0.621875
200356,0.0375
200357,0.0
200358,0.215625
200359,0.5125
200360,0.078125
200361,0.853125
200362,0.99375
200363,0.9625
200364,0.146875
200365,0.64375
200366,1.0
200367,0.046875
200368,0.878125
200369,0.059375
200370,0.190625
200371,0.159375
200372,0.10625
200373,0.996875
200374,0.0908952417834592
200375,0.809375
200376,1.0
200377,0.01875
200378,0.003125
200379,0.871875
200380,0.65625
200381,0.4
200382,0.74375
200383,0.996875
200384,0.85
200385,0.134375
200386,0.140625
200387,0.278125
200388,0.809375
200389,0.871875
200390,0.890625
200391,0.909375
200392,0.884375
200393,1.0
200394,0.0
200395,0.0875
200396,0.13883928571428572
200397,0.9875
200398,0.0
200399,0.85625
200400,0.753125
200401,0.725
200402,0.2
200403,0.0
200404,0.0
200405,0.0
200406,0.0
200407,0.121875
200408,0.675
200409,0.953125
200410,0.121875
200411,1.0
200412,0.803125
200413,1.0
200414,0.915625
200415,0.825
200416,0.95625
200417,0.0
200418,0.05625
200419,0.8
200420,0.196875
200421,0.296875
200422,0.95
200423,0.696875
200424,0.0
200425,0.234375
200426,0.203125
200427,0.1
200428,0.15
200429,0.234375
200430,0.078125
200431,0.953125
200432,0.0908952417834592
200433,0.975
200434,0.1
200435,0.784375
200436,0.9375
200437,0.85
200438,0.0
200439,0.728125
200440,0.1875
200441,0.95
200442,0.0
200443,0.984375
200444,0.978125
200445,0.0
200446,0.084375
200447,0.021875
200448,0.090625
200449,0.0
200450,0.978125
200451,0.075
200452,0.721875
200453,0.990625
200454,0.85
200455,0.678125
200456,0.940625
200457,0.1125
200458,0.359375
200459,0.178125
200460,0.065625
200461,0.99375
200462,0.06145833333333332
200463,0.94375
200464,0.134375
200465,0.053125
200466,0.0
200467,0.9375
200468,0.159375
200469,0.078125
200470,0.896875
200471,0.921875
200472,0.0
200473,0.93125
200474,0.0
200475,0.1125
200476,1.0
200477,0.9416666666666667
200478,0.71484375
200479,0.003125
200480,0.246875
200481,0.125
200482,0.946875
200483,0.065625
200484,0.0
200485,0.0908952417834592
200486,0.759375
200487,0.13125
200488,0.015625
200489,0.00625
200490,1.0
200491,0.90625
200492,0.265625
200493,0.8546875
200494,0.9581891116112355
200495,0.0
200496,0.846875
200497,0.0908952417834592
200498,0.0908952417834592
200499,0.8979166666666668
200500,0.0
200501,1.0
200502,0.9084273354340613
200503,0.990625
200504,0.271875
200505,0.19375
200506,1.0
200507,0.965625
200508,0.05
200509,1.0
200510,0.18125
200511,0.159375
200512,0.0
200513,0.803125
200514,0.034375
200515,1.0
200516,0.484375
200517,0.9625
200518,0.39375
200519,0.0
200520,0.678125
200521,0.778125
200522,0.078125
200523,0.096875
200524,0.0
200525,0.71875
200526,0.775
200527,0.084375
200528,0.934375
200529,0.88125
200530,1.0
200531,0.003125
200532,0.63125
200533,0.140625
200534,0.05625
200535,0.0
200536,0.9690888376368498
200537,0.85
200538,0.0
200539,0.053125
200540,0.096875
200541,0.0625
200542,0.015625
200543,0.9125
200544,0.25
200545,0.328125
200546,0.0
200547,0.090625
200548,0.09375
200549,0.971875
200550,0.08125
200551,0.996875
200552,0.821875
200553,0.95
200554,0.04375
200555,0.996875
200556,0.203125
200557,0.959375
200558,0.275
200559,1.0
200560,1.0
200561,1.0
200562,0.01875
200563,0.9875
200564,0.259375
